Date,Close,Daily_Return,Vol_21d,Vol_Regime,SMA_50,Signal_Trend,Position,Strategy_Return,Cost,Strategy_Net_Return,Equity_Benchmark,Equity_Strategy,DD_Benchmark,DD_Strategy
2000-08-07,51.14843750,0.01851276,0.23558065,Unknown,51.39406250,0,0.00000000,0.00000000,0.00000000,0.00000000,1.01851276,1.00000000,0.00000000,0.00000000
2000-08-08,50.90625000,-0.00473499,0.23405882,Unknown,51.49781250,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01369011,1.00000000,-0.00473499,0.00000000
2000-08-09,50.53906250,-0.00721301,0.23475755,Unknown,51.56046875,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.00637834,1.00000000,-0.01191385,0.00000000
2000-08-10,50.25000000,-0.00571959,0.22056572,Unknown,51.61390625,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.00062228,1.00000000,-0.01756530,0.00000000
2000-08-11,51.12500000,0.01741294,0.23118123,Unknown,51.66328125,0,0.00000000,0.00000000,0.00000000,0.00000000,1.01804605,1.00000000,-0.00045823,0.00000000
2000-08-14,51.65625000,0.01039120,0.23536726,Unknown,51.67265625,0,0.00000000,0.00000000,0.00000000,0.00000000,1.02862477,1.00000000,0.00000000,0.00000000
2000-08-15,50.90625000,-0.01451906,0.23807003,Unknown,51.67078125,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01369011,1.00000000,-0.01451906,0.00000000
2000-08-16,51.15625000,0.00491099,0.23389500,Unknown,51.66390625,0,0.00000000,0.00000000,0.00000000,0.00000000,1.01866833,1.00000000,-0.00967937,0.00000000
2000-08-17,51.62500000,0.00916310,0.22995159,Unknown,51.66515625,0,0.00000000,0.00000000,0.00000000,0.00000000,1.02800249,1.00000000,-0.00060496,0.00000000
2000-08-18,51.54687500,-0.00151332,0.22102963,Unknown,51.66734375,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.02644680,1.00000000,-0.00211736,0.00000000
2000-08-21,51.73437500,0.00363747,0.20064449,Unknown,51.65515625,1,0.00000000,0.00000000,0.00000000,0.00000000,1.03018046,1.00000000,0.00000000,0.00000000
2000-08-22,51.65625000,-0.00151012,0.19384655,Unknown,51.67250000,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.02862477,1.00000000,-0.00151012,0.00000000
2000-08-23,51.57812500,-0.00151240,0.19387106,Unknown,51.67531250,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.02706907,1.00000000,-0.00302024,0.00000000
2000-08-24,52.34375000,0.01484399,0.20011215,Unknown,51.69843750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.04231487,1.00000000,0.00000000,0.00000000
2000-08-25,52.56250000,0.00417910,0.17132547,Unknown,51.72468750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.04667082,1.00000000,0.00000000,0.00000000
2000-08-28,52.65625000,0.00178359,0.15506319,Unknown,51.75843750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.04853765,1.00000000,0.00000000,0.00000000
2000-08-29,53.15625000,0.00949555,0.13502098,Unknown,51.77656250,1,0.00000000,0.00000000,0.00000000,0.00000000,1.05849409,1.00000000,0.00000000,0.00000000
2000-08-30,53.21875000,0.00117578,0.13095015,Unknown,51.78906250,1,0.00000000,0.00000000,0.00000000,0.00000000,1.05973864,1.00000000,0.00000000,0.00000000
2000-08-31,53.75000000,0.00998238,0.13295238,Unknown,51.80718750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.07031736,1.00000000,0.00000000,0.00000000
2000-09-01,54.18750000,0.00813953,0.13300679,Unknown,51.86593750,1,1.00000000,0.00813953,0.00100000,0.00713953,1.07902925,1.00713953,0.00000000,0.00000000
2000-09-05,53.81250000,-0.00692042,0.13807796,Unknown,51.92406250,1,1.00000000,-0.00692042,0.00000000,-0.00692042,1.07156192,1.00016971,-0.00692042,-0.00692042
2000-09-06,53.57812500,-0.00435540,0.12881380,Unknown,51.96500000,1,1.00000000,-0.00435540,0.00000000,-0.00435540,1.06689484,0.99581357,-0.01124567,-0.01124567
2000-09-07,54.37500000,0.01487314,0.13326067,Unknown,52.03812500,1,1.00000000,0.01487314,0.00000000,0.01487314,1.08276291,1.01062445,0.00000000,0.00000000
2000-09-08,53.43750000,-0.01724138,0.14693888,Unknown,52.06687500,1,1.00000000,-0.01724138,0.00000000,-0.01724138,1.06409459,0.99319989,-0.01724138,-0.01724138
2000-09-11,53.50000000,0.00116959,0.14387108,Unknown,52.11312500,1,1.00000000,0.00116959,0.00000000,0.00116959,1.06533914,0.99436152,-0.01609195,-0.01609195
2000-09-12,53.32812500,-0.00321262,0.13537738,Unknown,52.14609375,1,1.00000000,-0.00321262,0.00000000,-0.00321262,1.06191661,0.99116702,-0.01925287,-0.01925287
2000-09-13,53.59375000,0.00498096,0.13244048,Unknown,52.16984375,1,1.00000000,0.00498096,0.00000000,0.00498096,1.06720597,0.99610398,-0.01436782,-0.01436782
2000-09-14,53.90625000,0.00583090,0.11894243,Unknown,52.21171875,1,1.00000000,0.00583090,0.00000000,0.00583090,1.07342875,1.00191217,-0.00862069,-0.00862069
2000-09-15,52.90625000,-0.01855072,0.13956829,Unknown,52.22140625,1,1.00000000,-0.01855072,0.00000000,-0.01855072,1.05351587,0.98332597,-0.02701149,-0.02701149
2000-09-18,51.65625000,-0.02362670,0.16175583,Unknown,52.19953125,0,1.00000000,-0.02362670,0.00000000,-0.02362670,1.02862477,0.96009322,-0.05000000,-0.05000000
2000-09-19,52.50000000,0.01633394,0.17108861,Unknown,52.18765625,1,1.00000000,0.01633394,0.00000000,0.01633394,1.04542626,0.97577533,-0.03448276,-0.03448276
2000-09-20,51.90625000,-0.01130952,0.17587453,Normal,52.16515625,0,1.00000000,-0.01130952,0.00000000,-0.01130952,1.03360299,0.96473977,-0.04540230,-0.04540230
2000-09-21,50.93750000,-0.01866346,0.18764089,Normal,52.10203125,0,1.00000000,-0.01866346,0.00000000,-0.01866346,1.01431238,0.94673440,-0.06321839,-0.06321839
2000-09-22,51.59375000,0.01288344,0.19330044,Normal,52.04859375,0,1.00000000,0.01288344,0.00000000,0.01288344,1.02738021,0.95893159,-0.05114943,-0.05114943
2000-09-25,51.65625000,0.00121139,0.18580909,Normal,51.99546875,0,1.00000000,0.00121139,0.00000000,0.00121139,1.02862477,0.96009322,-0.05000000,-0.05000000
2000-09-26,50.92187500,-0.01421658,0.19075412,Normal,51.92390625,0,1.00000000,-0.01421658,0.00000000,-0.01421658,1.01400124,0.94644399,-0.06350575,-0.06350575
2000-09-27,50.68750000,-0.00460264,0.19067717,Normal,51.86640625,0,1.00000000,-0.00460264,0.00000000,-0.00460264,1.00933416,0.94208785,-0.06781609,-0.06781609
2000-09-28,52.06250000,0.02712700,0.21232535,Normal,51.85515625,1,1.00000000,0.02712700,0.00000000,0.02712700,1.03671437,0.96764387,-0.04252874,-0.04252874
2000-09-29,51.81250000,-0.00480192,0.21259704,Normal,51.82140625,0,1.00000000,-0.00480192,0.00000000,-0.00480192,1.03173615,0.96299732,-0.04712644,-0.04712644
2000-10-02,50.96875000,-0.01628468,0.21466795,Normal,51.80015625,0,0.00000000,-0.00000000,0.00100000,-0.00100000,1.01493466,0.96203432,-0.06264368,-0.04807931
2000-10-03,50.22656250,-0.01456162,0.21497515,Normal,51.77921875,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.00015557,0.96203432,-0.07629310,-0.04807931
