Date,Close,Daily_Return,Vol_21d,Vol_Regime,SMA_50,Signal_Trend,Position,Strategy_Return,Cost,Strategy_Net_Return,Equity_Benchmark,Equity_Strategy,DD_Benchmark,DD_Strategy
1999-05-19,54.87500000,0.01385681,0.35100716,Unknown,53.20625000,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01385681,1.00000000,0.00000000,0.00000000
1999-05-20,53.36718750,-0.02747722,0.32607863,Unknown,53.25234375,1,0.00000000,-0.00000000,0.00000000,-0.00000000,0.98599885,1.00000000,-0.02747722,0.00000000
1999-05-21,52.87500000,-0.00922266,0.31265314,Unknown,53.28359375,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.97690531,1.00000000,-0.03644647,0.00000000
1999-05-24,51.53125000,-0.02541371,0.31861168,Unknown,53.31296875,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.95207852,1.00000000,-0.06093394,0.00000000
1999-05-25,49.84375000,-0.03274712,0.31940625,Unknown,53.27984375,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.92090069,1.00000000,-0.09168565,0.00000000
1999-05-26,51.23437500,0.02789969,0.33778335,Unknown,53.26578125,0,0.00000000,0.00000000,0.00000000,0.00000000,0.94659353,1.00000000,-0.06634396,0.00000000
1999-05-27,51.18750000,-0.00091491,0.31915414,Unknown,53.25828125,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.94572748,1.00000000,-0.06719818,0.00000000
1999-05-28,52.03125000,0.01648352,0.32471851,Unknown,53.24765625,0,0.00000000,0.00000000,0.00000000,0.00000000,0.96131640,1.00000000,-0.05182232,0.00000000
1999-06-01,50.87500000,-0.02222222,0.33153704,Unknown,53.24078125,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.93995381,1.00000000,-0.07289294,0.00000000
1999-06-02,51.73437500,0.01689189,0.33793350,Unknown,53.26359375,0,0.00000000,0.00000000,0.00000000,0.00000000,0.95583141,1.00000000,-0.05723235,0.00000000
1999-06-03,51.00000000,-0.01419511,0.33711776,Unknown,53.30734375,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.94226328,1.00000000,-0.07061503,0.00000000
1999-06-04,52.56250000,0.03063725,0.33751366,Unknown,53.34921875,0,0.00000000,0.00000000,0.00000000,0.00000000,0.97113164,1.00000000,-0.04214123,0.00000000
1999-06-07,53.65625000,0.02080856,0.32024204,Unknown,53.37609375,1,0.00000000,0.00000000,0.00000000,0.00000000,0.99133949,1.00000000,-0.02220957,0.00000000
1999-06-08,52.31250000,-0.02504368,0.32924831,Unknown,53.38734375,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.96651270,1.00000000,-0.04669704,0.00000000
1999-06-09,53.18750000,0.01672640,0.33271723,Unknown,53.37859375,0,0.00000000,0.00000000,0.00000000,0.00000000,0.98267898,1.00000000,-0.03075171,0.00000000
1999-06-10,52.57812500,-0.01145711,0.32973980,Unknown,53.36515625,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.97142032,1.00000000,-0.04185649,0.00000000
1999-06-11,51.78125000,-0.01515602,0.32282670,Unknown,53.35140625,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.95669746,1.00000000,-0.05637813,0.00000000
1999-06-14,50.80468750,-0.01885938,0.32299022,Unknown,53.29625000,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.93865473,1.00000000,-0.07417426,0.00000000
1999-06-15,51.56250000,0.01491619,0.32334171,Unknown,53.21750000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.95265589,1.00000000,-0.06036446,0.00000000
1999-06-16,54.21093750,0.05136364,0.36644714,Unknown,53.18953125,1,0.00000000,0.00000000,0.00000000,0.00000000,1.00158776,1.00000000,-0.01210137,0.00000000
1999-06-17,54.81250000,0.01109670,0.36796022,Unknown,53.18515625,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01270208,1.00000000,-0.00113895,0.00000000
1999-06-18,55.06250000,0.00456100,0.36522064,Unknown,53.17703125,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01732102,1.00000000,0.00000000,0.00000000
1999-06-21,56.71093750,0.02993757,0.36412963,Unknown,53.19500000,1,0.00000000,0.00000000,0.00000000,0.00000000,1.04777714,1.00000000,0.00000000,0.00000000
1999-06-22,55.00000000,-0.03016944,0.37998043,Unknown,53.18625000,1,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01616628,1.00000000,-0.03016944,0.00000000
1999-06-23,55.86718750,0.01576705,0.36895977,Unknown,53.20984375,1,0.00000000,0.00000000,0.00000000,0.00000000,1.03218822,1.00000000,-0.01487808,0.00000000
1999-06-24,54.75781250,-0.01985736,0.35518001,Unknown,53.24875000,1,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01169169,1.00000000,-0.03444001,0.00000000
1999-06-25,54.68750000,-0.00128406,0.34544086,Unknown,53.27187500,1,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01039261,1.00000000,-0.03567985,0.00000000
1999-06-28,55.98437500,0.02371429,0.35209510,Unknown,53.35218750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.03435335,1.00000000,-0.01281168,0.00000000
1999-06-29,56.75000000,0.01367569,0.35102447,Unknown,53.49656250,1,0.00000000,0.00000000,0.00000000,0.00000000,1.04849885,1.00000000,0.00000000,0.00000000
1999-06-30,57.62500000,0.01541850,0.33910532,Unknown,53.63593750,1,0.00000000,0.00000000,0.00000000,0.00000000,1.06466513,1.00000000,0.00000000,0.00000000
1999-07-01,58.01562500,0.00677874,0.33687728,Unknown,53.73312500,1,1.00000000,0.00677874,0.00100000,0.00577874,1.07188222,1.00577874,0.00000000,0.00000000
1999-07-02,58.75000000,0.01265823,0.32967674,Low,53.81625000,1,1.00000000,0.01265823,0.00000000,0.01265823,1.08545035,1.01851012,0.00000000,0.00000000
1999-07-06,58.37500000,-0.00638298,0.32100967,Low,53.87750000,1,1.00000000,-0.00638298,0.00000000,-0.00638298,1.07852194,1.01200899,-0.00638298,-0.00638298
1999-07-07,58.46875000,0.00160600,0.31610015,Low,53.91515625,1,1.00000000,0.00160600,0.00000000,0.00160600,1.08025404,1.01363427,-0.00478723,-0.00478723
1999-07-08,59.25000000,0.01336184,0.29871911,Low,53.98578125,1,1.00000000,0.01336184,0.00000000,0.01336184,1.09468822,1.02717829,0.00000000,0.00000000
1999-07-09,59.84375000,0.01002110,0.29661355,Low,54.10640625,1,1.00000000,0.01002110,0.00000000,0.01002110,1.10565820,1.03747174,0.00000000,0.00000000
1999-07-12,59.53125000,-0.00522193,0.29280582,Low,54.22953125,1,1.00000000,-0.00522193,0.00000000,-0.00522193,1.09988453,1.03205414,-0.00522193,-0.00522193
1999-07-13,59.25000000,-0.00472441,0.28540374,Low,54.34015625,1,1.00000000,-0.00472441,0.00000000,-0.00472441,1.09468822,1.02717829,-0.00992167,-0.00992167
1999-07-14,60.25781250,0.01700949,0.27182933,Low,54.47656250,1,1.00000000,0.01700949,0.00000000,0.01700949,1.11330831,1.04465007,0.00000000,0.00000000
1999-07-15,60.81250000,0.00920524,0.27079516,Low,54.64093750,1,1.00000000,0.00920524,0.00000000,0.00920524,1.12355658,1.05426632,0.00000000,0.00000000
