Date,Close,Daily_Return,Vol_21d,Vol_Regime,SMA_50,Signal_Trend,Position,Strategy_Return,Cost,Strategy_Net_Return,Equity_Benchmark,Equity_Strategy,DD_Benchmark,DD_Strategy
1993-04-12,44.90625000,0.01411433,0.11548783,Unknown,44.68750000,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01411433,1.00000000,0.00000000,0.00000000
1993-04-13,45.00000000,0.00208768,0.11033727,Unknown,44.70875000,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01623147,1.00000000,0.00000000,0.00000000
1993-04-14,44.93750000,-0.00138889,0.10893484,Unknown,44.72250000,1,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01482004,1.00000000,-0.00138889,0.00000000
1993-04-15,44.93750000,0.00000000,0.10893484,Unknown,44.73437500,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01482004,1.00000000,-0.00138889,0.00000000
1993-04-16,44.93750000,0.00000000,0.10684861,Unknown,44.73687500,1,0.00000000,0.00000000,0.00000000,0.00000000,1.01482004,1.00000000,-0.00138889,0.00000000
1993-04-19,44.75000000,-0.00417246,0.10516175,Unknown,44.73187500,1,0.00000000,-0.00000000,0.00000000,-0.00000000,1.01058574,1.00000000,-0.00555556,0.00000000
1993-04-20,44.53125000,-0.00488827,0.10436796,Unknown,44.72312500,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.00564573,1.00000000,-0.01041667,0.00000000
1993-04-21,44.50000000,-0.00070175,0.10275627,Unknown,44.71375000,0,0.00000000,-0.00000000,0.00000000,-0.00000000,1.00494001,1.00000000,-0.01111111,0.00000000
1993-04-22,43.93750000,-0.01264045,0.11082725,Unknown,44.69937500,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.99223712,1.00000000,-0.02361111,0.00000000
1993-04-23,43.75000000,-0.00426743,0.11133578,Unknown,44.68000000,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.98800282,1.00000000,-0.02777778,0.00000000
1993-04-26,43.40625000,-0.00785714,0.11016887,Unknown,44.64937500,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.98023994,1.00000000,-0.03541667,0.00000000
1993-04-27,43.87500000,0.01079914,0.11757926,Unknown,44.63500000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.99082569,1.00000000,-0.02500000,0.00000000
1993-04-28,43.78125000,-0.00213675,0.11604798,Unknown,44.64125000,0,0.00000000,-0.00000000,0.00000000,-0.00000000,0.98870854,1.00000000,-0.02708333,0.00000000
1993-04-29,43.96875000,0.00428266,0.11684426,Unknown,44.65187500,0,0.00000000,0.00000000,0.00000000,0.00000000,0.99294284,1.00000000,-0.02291667,0.00000000
1993-04-30,44.03125000,0.00142146,0.11721341,Unknown,44.66437500,0,0.00000000,0.00000000,0.00000000,0.00000000,0.99435427,1.00000000,-0.02152778,0.00000000
1993-05-03,44.31250000,0.00638751,0.11976579,Unknown,44.67937500,0,0.00000000,0.00000000,0.00000000,0.00000000,1.00070572,1.00000000,-0.01527778,0.00000000
1993-05-04,44.46875000,0.00352609,0.09558722,Unknown,44.69437500,0,0.00000000,0.00000000,0.00000000,0.00000000,1.00423430,1.00000000,-0.01180556,0.00000000
1993-05-05,44.59375000,0.00281096,0.09458532,Unknown,44.71250000,0,0.00000000,0.00000000,0.00000000,0.00000000,1.00705716,1.00000000,-0.00902778,0.00000000
